time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T02:08:50.870Z,33.7216667,-116.8228333,15.34,0.58,ml,16,97,0.09098,0.11,ci,ci38352200,2018-11-07T02:12:40.679Z,"7km ESE of Valle Vista, CA",earthquake,0.35,0.56,0.155,10,automatic,ci,ci
2018-11-07T01:46:30.416Z,60.1741,-140.9217,12.8,1.6,ml,,,,0.92,ak,ak20333993,2018-11-07T01:52:06.573Z,"84km E of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T01:40:58.454Z,60.8064,-149.8688,33.8,1.5,ml,,,,0.77,ak,ak20333991,2018-11-07T01:43:42.442Z,"45km S of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-07T01:32:40.057Z,60.2444,-152.2241,89.2,1.6,ml,,,,0.84,ak,ak20333989,2018-11-07T01:36:28.917Z,"39km SE of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-07T01:26:37.482Z,60.2909,-143.262,4.8,1,ml,,,,0.78,ak,ak20333984,2018-11-07T02:10:55.158Z,"52km WNW of Cape Yakataga, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-07T01:19:11.970Z,37.5945,-118.8471667,0.39,0.61,md,6,172,0.01502,0.02,nc,nc73107721,2018-11-07T01:43:14.778Z,"12km ESE of Mammoth Lakes, CA",earthquake,0.49,0.84,0.11,5,reviewed,nc,nc
2018-11-07T01:19:09.580Z,33.2645,-117.0283333,0.21,0.77,ml,10,205,0.3777,0.19,ci,ci38352192,2018-11-07T01:23:01.508Z,"5km N of Valley Center, CA",earthquake,1.89,31.61,0.157,8,automatic,ci,ci
2018-11-07T01:14:50.280Z,37.6315002,-122.4980011,7.6,1.98,md,17,161,0.01926,0.06,nc,nc73107716,2018-11-07T02:16:02.824Z,"2km NNW of Pacifica, CA",earthquake,0.38,0.48,0.26,14,automatic,nc,nc
2018-11-07T01:11:31.101Z,59.5523,-153.3116,101.3,2.2,ml,,,,0.66,ak,ak20333977,2018-11-07T01:23:52.621Z,"87km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-07T00:58:27.370Z,37.6711655,-118.8758316,3.28,1.07,md,9,197,0.02879,0.02,nc,nc73107711,2018-11-07T01:00:06.129Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.7,1.49,0.07,8,automatic,nc,nc
2018-11-07T00:58:18.080Z,34.306,-117.0821667,3.15,1.83,ml,60,68,0.1406,0.15,ci,ci38352160,2018-11-07T01:09:12.440Z,"11km NNE of Running Springs, CA",earthquake,0.21,0.74,0.124,26,automatic,ci,ci
2018-11-07T00:54:29.420Z,37.6701667,-118.8736667,4.27,0.59,md,18,173,0.02949,0.03,nc,nc73107701,2018-11-07T01:34:13.449Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.45,0.6,0.151,14,reviewed,nc,nc
2018-11-07T00:48:19.820Z,36.0243333,-117.7728333,1.77,0.66,ml,8,117,0.006201,0.05,ci,ci38352144,2018-11-07T00:51:59.961Z,"16km NE of Little Lake, CA",earthquake,0.18,0.2,0.291,4,automatic,ci,ci
2018-11-07T00:43:31.470Z,33.4963333,-116.7923333,5.9,0.97,ml,39,34,0.01734,0.19,ci,ci38352136,2018-11-07T00:47:11.866Z,"9km NE of Aguanga, CA",earthquake,0.2,0.73,0.148,26,automatic,ci,ci
2018-11-07T00:41:38.378Z,37.2415,-116.6895,8.7,0.4,ml,18,208.82,0.101,0.2107,nn,nn00664565,2018-11-07T00:53:40.518Z,"37km N of Beatty, Nevada",earthquake,,2.5,0.49,12,reviewed,nn,nn
2018-11-07T00:37:12.420Z,19.3101667,-155.2215,3.31,1.4,md,30,82,0.02894,0.1,hv,hv70676841,2018-11-07T01:12:08.130Z,"13km S of Volcano, Hawaii",earthquake,0.27,1.05,0.111,15,reviewed,hv,hv
2018-11-07T00:28:34.131Z,63.2598,-150.9605,0,1.6,ml,,,,1.18,ak,ak20333972,2018-11-07T00:33:19.679Z,"101km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T00:15:56.330Z,33.5028333,-116.797,3.46,1.18,ml,50,32,0.009915,0.18,ci,ci38352096,2018-11-07T00:27:04.730Z,"9km NE of Aguanga, CA",earthquake,0.16,0.52,0.13,26,automatic,ci,ci
2018-11-07T00:13:32.821Z,64.7709,-154.8041,0,1.8,ml,,,,0.92,ak,ak20333968,2018-11-07T00:21:24.086Z,"32km E of Ruby, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T00:07:59.065Z,62.5739,-153.4145,5,1.5,ml,,,,0.25,ak,ak20333965,2018-11-07T00:14:20.435Z,"119km ESE of McGrath, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T00:06:55.500Z,33.6283333,-116.6845,11.83,0.51,ml,17,91,0.07488,0.08,ci,ci38352072,2018-11-07T00:10:39.236Z,"8km N of Anza, CA",earthquake,0.23,0.37,0.147,12,automatic,ci,ci
2018-11-06T23:52:09.070Z,36.9611667,-97.8408333,7.64,2.47,ml,13,77,0.09797,0.04,ismpkansas,ismpkansas70252973,2018-11-07T01:56:42.160Z,"19km NNW of Medford, Oklahoma",earthquake,0.18,0.32,0.102,11,reviewed,ismp,ismp
2018-11-06T23:34:17.660Z,33.5031667,-116.7773333,3.53,0.55,ml,19,57,0.02131,0.09,ci,ci38352048,2018-11-06T23:37:54.792Z,"10km NE of Aguanga, CA",earthquake,0.17,0.37,0.093,17,automatic,ci,ci
2018-11-06T23:31:42.990Z,33.7866667,-115.9091667,2.88,1.56,ml,33,72,0.1134,0.24,ci,ci38352032,2018-11-06T23:35:21.606Z,"27km NE of Thermal, CA",earthquake,0.34,0.92,0.172,27,automatic,ci,ci
2018-11-06T23:22:01.354Z,36.3374,-116.3354,3,-0.4,ml,4,220.24,0.123,0.0793,nn,nn00664563,2018-11-07T02:05:50.779Z,"34km WNW of Pahrump, Nevada",earthquake,,13.7,0.57,3,reviewed,nn,nn
2018-11-06T23:07:35.180Z,33.4921667,-116.782,2.54,1.95,ml,67,32,0.02532,0.21,ci,ci38352008,2018-11-06T23:33:59.390Z,"10km NE of Aguanga, CA",earthquake,0.17,0.35,0.153,26,automatic,ci,ci
2018-11-06T22:50:42.470Z,24.2976,94.2939,64.22,4.1,mb,,100,0.067,0.56,us,us2000i7rq,2018-11-06T23:09:12.040Z,"37km ESE of Kakching, India",earthquake,8.3,6,0.14,14,reviewed,us,us
2018-11-06T22:34:38.690Z,19.3328342,-155.197998,3.78,1.77,md,39,82,0.04396,0.13,hv,hv70676701,2018-11-06T22:38:11.260Z,"11km SSE of Volcano, Hawaii",earthquake,0.35,1.27,0.19,25,automatic,hv,hv
2018-11-06T22:34:05.086Z,38.7091,-117.126,0,1.7,ml,11,147.03,0.132,0.5811,nn,nn00664553,2018-11-07T02:05:43.335Z,"71km N of Tonopah, Nevada",explosion,,0,0.27,9,reviewed,nn,nn
2018-11-06T22:24:03.320Z,38.8166656,-122.7634964,1.95,0.61,md,9,97,0.01467,0.01,nc,nc73107676,2018-11-06T22:25:42.282Z,"4km W of Cobb, CA",earthquake,0.35,0.67,0.21,2,automatic,nc,nc
2018-11-06T22:21:10.220Z,38.8196678,-122.809166,2.87,0.9,md,16,70,0.003789,0.03,nc,nc73107671,2018-11-06T22:22:47.161Z,"7km NW of The Geysers, CA",earthquake,0.33,0.71,,1,automatic,nc,nc
2018-11-06T22:16:21.040Z,37.5678333,-118.8783333,4.02,0.78,md,20,172,0.04495,0.06,nc,nc73107666,2018-11-06T23:59:28.191Z,"12km SE of Mammoth Lakes, CA",earthquake,0.33,0.52,0.233,17,reviewed,nc,nc
2018-11-06T22:15:54.650Z,38.7929993,-122.7661667,2.88,0.6,md,9,75,0.017,0.02,nc,nc73107661,2018-11-06T22:17:32.200Z,"2km NNW of The Geysers, CA",earthquake,0.38,0.89,0.28,2,automatic,nc,nc
2018-11-06T22:15:27.346Z,35.4834,-115.5359,0,1.8,ml,19,74.55,0.014,0.3576,nn,nn00664535,2018-11-07T02:05:38.669Z,"38km SSE of Sandy Valley, Nevada",explosion,,2,0.43,6,reviewed,nn,nn
2018-11-06T22:13:35.260Z,33.5071667,-116.802,3.19,0.78,ml,36,33,0.00537,0.22,ci,ci38351952,2018-11-06T22:31:32.588Z,"9km NE of Aguanga, CA",earthquake,0.26,0.74,0.165,24,reviewed,ci,ci
2018-11-06T22:12:04.880Z,49.3583333333333,-120.6365,-1.5,1.69,ml,4,262,,0.03,uw,uw61502711,2018-11-06T22:46:20.220Z,"14km SW of Princeton, Canada",explosion,2.01,31.61,0.0728431245998461,4,reviewed,uw,uw
2018-11-06T22:09:21.860Z,34.0438333,-117.2246667,14.91,0.91,ml,24,61,0.1106,0.12,ci,ci38351944,2018-11-06T22:44:32.463Z,"3km E of Loma Linda, CA",earthquake,0.21,0.53,0.132,14,reviewed,ci,ci
2018-11-06T22:04:17.700Z,37.5634995,-118.8768311,4.79,1.74,md,21,148,0.04625,0.04,nc,nc73107656,2018-11-06T22:33:03.536Z,"12km SE of Mammoth Lakes, CA",earthquake,0.33,0.55,0.25,17,automatic,nc,nc
2018-11-06T21:58:32.956Z,38.3916,-118.8964,8.4,0.7,ml,5,170.61,0.338,0.16,nn,nn00664560,2018-11-07T02:05:49.220Z,"27km WSW of Hawthorne, Nevada",earthquake,,47.4,0.1,2,reviewed,nn,nn
2018-11-06T21:57:21.230Z,38.8246651,-122.8538361,2.16,0.55,md,8,155,0.01918,0.03,nc,nc73107651,2018-11-06T21:58:57.785Z,"10km WNW of The Geysers, CA",earthquake,0.65,1.1,,1,automatic,nc,nc
2018-11-06T21:44:51.040Z,33.6763333,-116.6908333,16.12,0.6,ml,18,120,0.01602,0.12,ci,ci38351912,2018-11-06T22:01:47.641Z,"8km SSE of Idyllwild, CA",earthquake,0.37,0.43,0.11,6,reviewed,ci,ci
2018-11-06T21:41:25.010Z,38.8226662,-122.8506699,1.44,1.04,md,9,115,0.006871,0.02,nc,nc73107646,2018-11-06T21:43:02.613Z,"10km WNW of The Geysers, CA",earthquake,0.37,0.59,,1,automatic,nc,nc
2018-11-06T21:35:39.350Z,40.3643341,-124.2070007,30.26,2.15,md,8,192,0.08442,0.1,nc,nc73107641,2018-11-07T00:57:03.864Z,"8km ENE of Petrolia, CA",earthquake,1.44,2.56,0.12,3,automatic,nc,nc
2018-11-06T21:35:22.640Z,33.7808333,-116.1326667,8.39,1.17,ml,35,110,0.07569,0.15,ci,ci38351896,2018-11-06T21:59:30.920Z,"10km NE of Indio, CA",earthquake,0.22,0.62,0.129,19,reviewed,ci,ci
2018-11-06T21:34:21.490Z,32.911,-116.9321667,-0.18,1.72,ml,36,55,0.0755,0.31,ci,ci38351880,2018-11-06T21:48:36.605Z,"6km N of Lakeside, CA",quarry blast,0.44,31.61,0.174,28,reviewed,ci,ci
2018-11-06T21:25:13.250Z,40.2433333,-121.3121667,1.54,0.85,md,7,267,0.175,0.08,nc,nc73107636,2018-11-06T21:54:41.124Z,"10km SW of Chester, CA",earthquake,0.95,31.61,0.241,7,reviewed,nc,nc
2018-11-06T21:22:56.130Z,-45.5046,-76.696,10,5.3,mww,,183,2.629,0.7,us,us2000i7qy,2018-11-06T21:46:15.040Z,"Off the coast of Aisen, Chile",earthquake,9.1,1.9,0.071,19,reviewed,us,us
2018-11-06T21:22:32.494Z,69.2954,-144.042,0,2.9,ml,,,,0.73,ak,ak20333787,2018-11-06T21:35:22.284Z,"94km S of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-06T21:20:25.513Z,39.2712,-115.0067,1.5,1.6,ml,7,137.72,0.59,0.5101,nn,nn00664524,2018-11-07T02:05:34.640Z,"10km WNW of Ely, Nevada",explosion,,12,0.03,2,reviewed,nn,nn
2018-11-06T21:20:02.230Z,33.5073333,-116.7943333,3.37,0.48,ml,28,58,0.007107,0.13,ci,ci38351848,2018-11-06T21:38:23.425Z,"10km NE of Aguanga, CA",earthquake,0.16,0.3,0.091,11,reviewed,ci,ci
2018-11-06T21:16:32.270Z,38.8250008,-122.7955017,2.51,1.05,md,9,115,0.01398,0.02,nc,nc73107631,2018-11-06T21:36:02.129Z,"6km W of Cobb, CA",earthquake,0.42,0.63,0.04,4,automatic,nc,nc
2018-11-06T21:16:07.190Z,59.6921,-140.4549,4.9,2.1,ml,,,,1.68,ak,ak20333783,2018-11-06T21:22:46.289Z,"44km WNW of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-06T21:08:23.757Z,62.1192,-150.7725,69.7,1.3,ml,,,,0.19,ak,ak20333780,2018-11-06T21:12:11.118Z,"41km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-06T21:01:40.895Z,60.27,-152.1584,85.5,1.4,ml,,,,0.39,ak,ak20333777,2018-11-06T21:07:59.104Z,"40km SE of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-06T21:00:28.781Z,61.424,-149.9139,34.2,1.1,ml,,,,0.72,ak,ak20333776,2018-11-06T21:03:36.862Z,"11km SSE of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T20:59:51.820Z,33.4913333,-116.7825,2.81,2.18,ml,90,21,0.02574,0.2,ci,ci38351800,2018-11-07T03:25:54.530Z,"9km NE of Aguanga, CA",earthquake,0.13,0.44,0.177,25,reviewed,ci,ci
