Name,Discipline,Address,Website,Lon,Lat,
Prairie School Road Farm,Morgans,"1181 Luebbering Rd, Luebbering, MO 63061",http://psrmorgansandmore.com/wordpress/,-90.831127,38.2691357,
Providence Equestrian Center,English/Western,"490 Forby Rd, Eureka, MO 63025",https://www.facebook.com/Providence-Equestrian-Center-1073311142703819/,-90.6423273,38.5157695,
Quarter Line Dressage,Dressage,"17899 Wild Horse Creek Rd, Chesterfield, MO 63005",https://quarterlinedressagestl.com/,-90.6544985,38.6536028,
Ridgefield Arena,Hunter/Jumper,"1410 Ridge Rd, Ballwin, MO 63021",http://www.ridgefieldarena.com/main_page.html,-90.5932784,38.553643,
Riverside Equestrian Center,English/Western,"112 Riverside Drive, Labadie, MO 63055",http://www.riversidestablesmo.com/,-90.8935928,38.5259817,
Rock Creek Stables,Saddle seat,"3700 W Rock Creek Rd, House Springs, MO 63051",https://www.facebook.com/RockCreekStablesLLC/,-90.5247502,38.4415766,
Spring Haven ,English/Western,"8228 IL-163, Millstadt, IL 62260",http://www.springhavenstables.com/,-90.102729,38.523556,
St. Louis Equestrian Center,English/Western,"19201 Model Realty Company Rd, Pacific, MO 63069",http://saintlouisequestriancenter.com/,-90.7889668,38.4878137,
Stockwood Ranch,Western,"5800 Regina Rd, Hillsboro, MO 63050",http://stockwoodranch.com/,-90.5892903,38.3228391,
Sugar Creek Ranch,English/Western,"310 Fiedler Ln, Fenton, MO 63026",http://www.scrfenton.com/,-90.4500319,38.4723764,
TREE House of Greater St. Louis,therapeutic horsemanship,"332 Stable Ln, Wentzville, MO 63385",https://thstl.org/,-90.8586069,38.7570077,
Trinita Farms,English/Western,"1289 Fiddle Creek Rd, Labadie, MO 63055",http://www.trinitafarms.com/,-90.783477,38.5440871,
Valley Mount Ranch,Western,"1090 Meramec Station Rd, Valley Park, MO 63088",http://www.valleymountranch.com/,-90.5128102,38.5352259,
Wright Equestrian Center,English/Western,"1028 Mennemeyer Rd, Troy, MO 63379",https://www.wrightequestrian.com/,-91.0068796,38.932965,
4 Arrows Ranch,Western,"2029 Tanis Lee Ln, Wentzville, MO 63385",http://www.4arrowsranchllc.com/,-90.8348215,38.7419002,
